All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N8,GPIO35,,GPIO35,SCIA_RX,EMIF1_CS3n,SPIA_PTE,GPIO35,EQEP4_INDEX,I2CB_SCL,CLB_OUTPUTXBAR4,GPIO35,EMIF1_A0,ESC_LATCH1,EPWM18_B,GPIO35,SCIA_RX,ESC_SYNC1,
M12,GPIO41,,GPIO41,,EMIF1_A3,EPWM13_B,GPIO41,MCANB_TX,I2CB_SCL,SD4_D3,GPIO41,,CLB_OUTPUTXBAR2,,GPIO41,SD2_D1,ESC_I2C_SCL,FSIRXD_CLK
J10,GPIO58,,GPIO58,SPIA_PICO,EMIF1_D26,EPWM8_A,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,EMIF1_D3,ESC_LED_LINK0_ACTIVE,CANA_RX,GPIO58,SD2_C2,FSIRXB_D0,SPIA_PICO
H13,GPIO59,,GPIO59,EPWM5_A,EMIF1_D25,EPWM8_B,GPIO59,OUTPUTXBAR2,SPIB_PTE,SD2_C2,GPIO59,EMIF1_D4,ESC_LED_LINK1_ACTIVE,CANA_TX,GPIO59,SD2_C3,FSIRXB_D1,SPIA_POCI
H11,GPIO61,,GPIO61,EPWM17_B,EMIF1_D23,ESC_LATCH1,GPIO61,OUTPUTXBAR4,SPIB_POCI,SD2_C3,GPIO61,EMIF1_D6,ESC_LED_RUN,,GPIO61,,CANA_RX,SPIA_PTE
H10,GPIO62,,GPIO62,SCIA_RX,EMIF1_D22,ESC_MDIO_CLK,GPIO62,EQEP3_A,CANA_RX,SD2_D4,GPIO62,EMIF1_D7,ESC_LED_STATE_RUN,,GPIO62,,CANA_TX,
G13,GPIO63,,GPIO63,SCIA_TX,EMIF1_D21,EPWM9_A,GPIO63,EQEP3_B,CANA_TX,SD2_C4,GPIO63,EMIF1_RNW,EMIF1_BA0,,GPIO63,SD1_D1,ESC_RX1_DATA0,SPIB_PICO
G12,GPIO64,,GPIO64,,EMIF1_D20,EPWM9_B,GPIO64,EQEP3_STROBE,SCIA_RX,,GPIO64,EMIF1_WAIT,EMIF1_BA1,,GPIO64,SD1_C1,ESC_RX1_DATA1,SPIB_POCI
G11,GPIO65,,GPIO65,,EMIF1_D19,EPWM10_A,GPIO65,EQEP3_INDEX,SCIA_TX,,GPIO65,EMIF1_WEn,,FSITXB_CLK,GPIO65,SD1_D2,ESC_RX1_DATA2,SPIB_CLK
G10,GPIO66,,GPIO66,EQEP6_B,EMIF1_D18,EPWM10_B,GPIO66,,I2CB_SDA,,GPIO66,EMIF1_OEn,,FSITXB_D1,GPIO66,SD1_C2,ESC_RX1_DATA3,SPIB_PTE
B12,GPIO69,,GPIO69,,EMIF1_D15,EPWM11_A,GPIO69,,I2CB_SCL,,GPIO69,,,FSITXB_D0,GPIO69,SD1_D4,ESC_RX1_CLK,SPIC_PICO
A12,GPIO70,,GPIO70,,EMIF1_D14,EPWM11_B,GPIO70,CANA_RX,SCIB_TX,UARTB_TX,GPIO70,MCANA_RX,,FSIRXB_D0,GPIO70,SD1_C4,ESC_RX1_DV,SPIC_POCI
B11,GPIO71,,GPIO71,,EMIF1_D13,EPWM12_A,GPIO71,CANA_TX,SCIB_RX,UARTB_RX,GPIO71,MCANA_TX,,,GPIO71,SD3_D1,ESC_RX1_ERR,SPIC_CLK
A11,GPIO72,,GPIO72,EQEP6_STROBE,EMIF1_D12,EPWM12_B,GPIO72,OUTPUTXBAR8,UARTA_TX,,GPIO72,MCANB_RX,,,GPIO72,SD3_C1,ESC_TX1_DATA3,SPIC_PTE
C10,GPIO73,,GPIO73,EQEP6_INDEX,EMIF1_D11,XCLKOUT,GPIO73,OUTPUTXBAR6,UARTA_RX,EPWM5_B,GPIO73,MCANB_TX,SD4_D4,,GPIO73,SD2_D2,ESC_TX1_DATA2,
C9,GPIO78,,GPIO78,EPWM10_A,EMIF1_D6,,GPIO78,,EQEP2_A,SD3_C2,GPIO78,,SD4_D4,,GPIO78,SD2_C4,ESC_RX0_DV,
E8,GPIO80,,GPIO80,EPWM11_A,EMIF1_D4,,GPIO80,ERRORSTS,EQEP2_STROBE,SD3_C3,GPIO80,,SD1_D4,,GPIO80,SD2_C1,ESC_RX0_DATA0,
A8,GPIO84,,GPIO84,EPWM12_B,EMIF1_D1,EMIF1_CS4n,GPIO84,SCIA_TX,EQEP6_A,,GPIO84,SD3_D2,,UARTA_TX,GPIO84,SD3_C2,ESC_TX0_ENA,ESC_RX0_DATA3
A7,GPIO85,,GPIO85,EPWM13_A,EMIF1_D0,,GPIO85,SCIA_RX,EQEP6_B,SD3_D1,GPIO85,,,UARTA_RX,GPIO85,SD3_D3,ESC_TX0_CLK,EMIF1_DQM2
B7,GPIO86,,GPIO86,EPWM13_B,EMIF1_A13,EMIF1_CAS,GPIO86,SCIB_TX,EQEP6_STROBE,,GPIO86,,,,GPIO86,SD3_C3,ESC_PHY0_LINKSTATUS,
C7,GPIO87,,GPIO87,EPWM14_A,EMIF1_A14,EMIF1_RAS,GPIO87,SCIB_RX,EQEP6_INDEX,,GPIO87,EMIF1_DQM3,,,GPIO87,SD3_D4,ESC_TX0_DATA0,
D5,GPIO89,,GPIO89,EPWM15_A,EMIF1_A16,EMIF1_DQM1,GPIO89,,,SD1_D3,GPIO89,EMIF1_CAS,,,GPIO89,SD4_D1,ESC_TX0_DATA2,SPID_PTE
E5,GPIO90,,GPIO90,EPWM15_B,EMIF1_A17,EMIF1_DQM2,GPIO90,,,SD1_C3,GPIO90,EMIF1_RAS,,,GPIO90,SD4_C1,ESC_TX0_DATA3,SPID_CLK
B4,GPIO91,SPID_PICO,GPIO91,EPWM16_A,EMIF1_A18,EMIF1_DQM3,GPIO91,,I2CA_SDA,SD4_D2,GPIO91,EMIF1_DQM2,PMBUSA_SCL,,GPIO91,,CLB_OUTPUTXBAR1,SPID_PICO
A4,GPIO92,,GPIO92,EPWM16_B,EMIF1_A19,EMIF1_BA1,GPIO92,,I2CA_SCL,SD4_C2,GPIO92,EMIF1_DQM0,PMBUSA_SDA,FSIRXD_CLK,GPIO92,,CLB_OUTPUTXBAR2,SPID_POCI
F1,C0/ GPIO199,,GPIO199,EQEP1_STROBE,EPWM17_A,SCIB_TX,GPIO199,EPWM12_A,SPIB_CLK,SD1_D4,GPIO199,MCANA_TX,EMIF1_RAS,,GPIO199,,SPIC_CLK,
G5,C6/ GPIO203,,GPIO203,OUTPUTXBAR3,EQEP2_INDEX,SPIA_POCI,GPIO203,OUTPUTXBAR3,SPIB_CLK,SD3_D1,GPIO203,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO203,EPWM14_A,FSITXA_D0,EPWM8_B
G6,C5/ GPIO204,,GPIO204,OUTPUTXBAR4,EQEP2_STROBE,SPIA_CLK,GPIO204,OUTPUTXBAR4,SPIB_PTE,SD2_C2,GPIO204,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO204,EPWM14_B,FSITXA_CLK,SD1_D3
H6,C4/ GPIO205,C4_GPIO205,GPIO205,EQEP1_INDEX,EPWM10_A,SPIA_PTE,GPIO205,,,,GPIO205,,,OUTPUTXBAR1,GPIO205,,,SD1_C3
H5,C3/ GPIO206,,GPIO206,EMIF1_A11,EPWM10_B,EMIF1_WEn,GPIO206,,,,GPIO206,,,OUTPUTXBAR2,GPIO206,,ESC_PHY_CLK,ESC_LED_STATE_RUN
J4,B6/ GPIO207,,GPIO207,EQEP2_A,EPWM11_A,EXTSYNCOUT,GPIO207,CANA_TX,SD4_D1,SCIA_RX,GPIO207,LINA_RX,I2CB_SCL,OUTPUTXBAR3,GPIO207,,ESC_RX1_CLK,PMBUSA_ALERT
K4,B7/ GPIO208,B7_GPIO208,GPIO208,EQEP2_B,EPWM11_B,EMIF1_D13,GPIO208,SPIB_PICO,SD4_C1,SCIA_TX,GPIO208,,,OUTPUTXBAR4,GPIO208,,ESC_RX1_DV,PMBUSA_CTL
J5,A6/ GPIO209,,GPIO209,EQEP2_STROBE,EPWM12_A,EMIF1_D14,GPIO209,SPIB_POCI,SD4_D2,EPWM12_B,GPIO209,,LINB_RX,OUTPUTXBAR5,GPIO209,,ESC_RX1_ERR,PMBUSA_SDA
L5,A10/ GPIO213,,GPIO213,EQEP6_STROBE,EPWM8_A,,GPIO213,,SD4_D4,,GPIO213,,LINB_TX,,GPIO213,,ESC_LED_ERR,
L6,A11/ GPIO214,,GPIO214,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO214,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO214,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO214,EPWM16_A,ESC_SYNC1,SPID_PICO
D13,GPIO220/ X1,,GPIO220,,EPWM6_A,SPID_POCI,GPIO220,OUTPUTXBAR2,SCIB_TX,MCANA_TX,GPIO220,,,,GPIO220,,,PMBUSA_ALERT
E13,GPIO221/ X2,,GPIO221,,EPWM6_B,SPID_PTE,GPIO221,OUTPUTXBAR3,SCIB_RX,MCANA_RX,GPIO221,,,,GPIO221,,,PMBUSA_CTL
N9,GPIO222/TDI,,GPIO222,TDI,EPWM7_A,SPIA_PICO,GPIO222,OUTPUTXBAR4,SCIA_RX,UARTB_TX,GPIO222,I2CA_SDA,SPIC_CLK,,GPIO222,,ESC_PDI_UC_IRQ,PMBUSA_SDA
M9,GPIO223/TDO,,GPIO223,TDO,EPWM7_B,EMIF1_A11,GPIO223,OUTPUTXBAR5,SCIA_TX,UARTB_RX,GPIO223,I2CA_SCL,SPIC_PTE,,GPIO223,,,PMBUSA_SCL
N10,TMS,TMS
M10,TCK,TCK
D12,XRSn,XRSn
E10,VREGENZ,VREGENZ
M1,A14/B14/C14,,AIO225,,,,,,,,,,,,,,,
M2,A15/B15/C15,,AIO226,,,,,,,,,,,,,,,
L3,A0/DACA_OUT,,AIO227,,,,,,,,,,,,,,,
K3,A1,,AIO228,,,,,,,,,,,,,,,
J3,A2,,AIO229,,,,,,,,,,,,,,,
H3,A3,,AIO230,,,,,,,,,,,,,,,
H2,A4,,AIO231,,,,,,,,,,,,,,,
H1,A5,,AIO232,,,,,,,,,,,,,,,
N2,B0/VDAC,,AIO233,,,,,,,,,,,,,,,
N3,B1/DACC_OUT,,AIO234,,,,,,,,,,,,,,,
M3,B2,,AIO235,,,,,,,,,,,,,,,
L4,B3,,AIO236,,,,,,,,,,,,,,,
H4,C2,,AIO237,,,,,,,,,,,,,,,
N4,VREFLOB,VREFLOB
M4,VREFHIB,VREFHIB
E12,VSSOSC,VSSOSC
N1,VSSA,VSSA
N5,VSSA,VSSA
M5,VDDA,VDDA
F4,VDDIO,VDDIO
F6,VDDIO,VDDIO
F8,VDDIO,VDDIO
H9,VDDIO,VDDIO
J8,VDDIO,VDDIO
A1,VSS,VSS
A13,VSS,VSS
F9,VSS,VSS
G7,VSS,VSS
G8,VSS,VSS
H7,VSS,VSS
H8,VSS,VSS
J7,VSS,VSS
N13,VSS,VSS
F5,VDD,VDD
F7,VDD,VDD
G9,VDD,VDD
J9,VDD,VDD
M8,VDD3VFL,VDD3VFL
E11,VDDOSC,VDDOSC
C13,VDDIO,VDDIO
E6,GPIO5,,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,CLB_OUTPUTXBAR3,CANA_RX,,GPIO5,MCANA_RX,ESC_GPI5,,GPIO5,FSIRXA_CLK,,
A5,GPIO6,EPWM4_A,GPIO6,EPWM4_A,OUTPUTXBAR4,EXTSYNCOUT,GPIO6,EQEP3_A,MCANB_TX,LINA_TX,GPIO6,EMIF1_DQM0,ESC_GPI6,,GPIO6,FSITXB_D0,,
B5,GPIO7,EPWM4_B,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP3_B,MCANB_RX,LINA_RX,GPIO7,EMIF1_DQM1,ESC_GPI7,,GPIO7,FSITXB_D1,,
E3,GPIO8,EPWM5_A,GPIO8,EPWM5_A,EMIF1_RAS,ADCSOCAO,GPIO8,EQEP3_STROBE,SCIA_TX,CLB_OUTPUTXBAR4,GPIO8,MCANA_TX,ESC_GPO0,,GPIO8,FSITXB_CLK,FSITXA_D1,FSIRXA_D0
F3,GPIO9,EPWM5_B,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP3_INDEX,SCIA_RX,,GPIO9,,ESC_GPO1,,GPIO9,FSIRXB_D0,FSITXA_D0,FSIRXA_CLK
C4,GPIO16,,GPIO16,SPIA_PICO,,OUTPUTXBAR7,GPIO16,EPWM9_A,,SD1_D1,GPIO16,,,EQEP5_B,GPIO16,FSIRXD_D1,,ESC_RX1_CLK
D4,GPIO17,,GPIO17,SPIA_POCI,,OUTPUTXBAR8,GPIO17,EPWM9_B,,SD1_C1,GPIO17,,,EQEP5_STROBE,GPIO17,FSIRXD_CLK,,ESC_RX1_DV
D3,GPIO18,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM10_A,,SD1_D2,GPIO18,MCANA_RX,EMIF1_CS2n,EQEP5_INDEX,GPIO18,,,ESC_RX1_ERR
D1,GPIO19,,GPIO19,SPIA_PTE,SCIB_RX,CANA_TX,GPIO19,EPWM10_B,,SD1_C2,GPIO19,MCANA_TX,EMIF1_CS3n,,GPIO19,,,ESC_TX1_DATA3
E1,GPIO20,EQEP1_A,GPIO20,EQEP1_A,,,GPIO20,EPWM11_A,,SD1_D3,GPIO20,MCANB_TX,EMIF1_BA0,,GPIO20,,SPIC_PICO,ESC_TX1_DATA2
E2,GPIO21,EQEP1_B,GPIO21,EQEP1_B,,,GPIO21,EPWM11_B,,SD1_C3,GPIO21,MCANB_RX,EMIF1_BA1,,GPIO21,,SPIC_POCI,ESC_TX1_DATA1
D2,GPIO22,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,EPWM12_A,SPIB_CLK,SD1_D4,GPIO22,MCANA_TX,EMIF1_RAS,,GPIO22,,SPIC_CLK,ESC_TX1_DATA0
F2,GPIO23,EQEP1_INDEX,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,EPWM12_B,SPIB_PTE,SD1_C4,GPIO23,MCANA_RX,EMIF1_CAS,,GPIO23,,SPIC_PTE,ESC_PHY_RESETn
D7,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,LINB_TX,SPIB_PICO,SD2_D1,GPIO24,PMBUSA_SCL,EMIF1_DQM0,,GPIO24,EPWM13_A,ESC_RX0_DATA1,ESC_RX0_CLK
L10,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,,GPIO26,OUTPUTXBAR3,SPIB_CLK,SD2_D2,GPIO26,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO26,EPWM14_A,FSITXA_D0,ESC_RX0_ERR
D11,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,,GPIO27,OUTPUTXBAR4,SPIB_PTE,SD2_C2,GPIO27,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO27,EPWM14_B,FSITXA_CLK,ESC_RX0_DATA0
K8,GPIO28,,GPIO28,SCIA_RX,EMIF1_CS4n,UARTA_RX,GPIO28,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO28,EMIF1_CS2n,,,GPIO28,EPWM15_A,,ESC_RX0_DATA1
L8,GPIO29,,GPIO29,SCIA_TX,EMIF1_SDCKE,UARTA_TX,GPIO29,OUTPUTXBAR6,EQEP3_B,SD2_C3,GPIO29,EMIF1_CS3n,ESC_LATCH0,ESC_I2C_SDA,GPIO29,EPWM15_B,ESC_SYNC0,ESC_RX0_DATA2
F12,GPIO32,,GPIO32,I2CA_SDA,EMIF1_CS0n,SPIA_PICO,GPIO32,EQEP4_A,LINB_TX,CLB_OUTPUTXBAR1,GPIO32,EMIF1_OEn,I2CA_SCL,,GPIO32,,,SPID_CLK
L7,GPIO33,,GPIO33,I2CA_SCL,EMIF1_RNW,SPIA_POCI,GPIO33,EQEP4_B,,CLB_OUTPUTXBAR2,GPIO33,EMIF1_BA0,,ESC_LED_ERR,GPIO33,,,SPID_PTE
N11,GPIO36,,GPIO36,SCIA_TX,EMIF1_WAIT,,GPIO36,,CANA_RX,CLB_OUTPUTXBAR5,GPIO36,EMIF1_A1,MCANA_RX,,GPIO36,SD1_D1,EMIF1_WEn,
M11,GPIO37,,GPIO37,OUTPUTXBAR2,EMIF1_OEn,EPWM18_A,GPIO37,,CANA_TX,CLB_OUTPUTXBAR6,GPIO37,EMIF1_A2,MCANA_TX,,GPIO37,SD1_D2,EMIF1_D24,
L11,GPIO38,,GPIO38,,EMIF1_A0,EPWM18_B,GPIO38,UARTA_TX,SCIB_TX,CLB_OUTPUTXBAR7,GPIO38,EMIF1_A3,,,GPIO38,SD1_D3,EMIF1_CS2n,
N12,GPIO40,,GPIO40,,EMIF1_A2,EPWM13_A,GPIO40,MCANB_RX,I2CB_SDA,SD4_C3,GPIO40,ESC_GPO2,CLB_OUTPUTXBAR1,,GPIO40,SD2_C1,ESC_I2C_SDA,
F10,GPIO44,,GPIO44,SPID_POCI,EMIF1_A4,MCANB_RX,GPIO44,,SD3_C4,UARTB_TX,GPIO44,,CLB_OUTPUTXBAR6,,GPIO44,FSIRXD_CLK,ESC_TX1_CLK,
F11,GPIO45,,GPIO45,SPID_PTE,EMIF1_A5,MCANB_TX,GPIO45,,SD3_D4,UARTB_RX,GPIO45,,CLB_OUTPUTXBAR7,,GPIO45,,ESC_TX1_ENA,
M13,GPIO48,,GPIO48,OUTPUTXBAR3,EMIF1_A8,,GPIO48,,SCIA_TX,SD1_D1,GPIO48,,,,GPIO48,SD2_C2,ESC_PHY_CLK,
L13,GPIO49,,GPIO49,OUTPUTXBAR4,EMIF1_A9,,GPIO49,,SCIA_RX,SD1_C1,GPIO49,EMIF1_A5,,,GPIO49,SD2_D1,FSITXA_D0,
K9,GPIO50,,GPIO50,EQEP1_A,EMIF1_A10,EPWM15_A,GPIO50,,SPIC_PICO,SD1_D2,GPIO50,EMIF1_A6,,ESC_LATCH0,GPIO50,SD2_D2,FSITXA_D1,
K10,GPIO51,,GPIO51,EQEP1_B,EMIF1_A11,EPWM15_B,GPIO51,,SPIC_POCI,SD1_C2,GPIO51,EMIF1_A7,,ESC_LATCH1,GPIO51,SD2_D3,FSITXA_CLK,
K11,GPIO52,,GPIO52,EQEP1_STROBE,EMIF1_A12,EPWM16_A,GPIO52,,SPIC_CLK,SD1_D3,GPIO52,EMIF1_A8,,ESC_MDIO_CLK,GPIO52,SD2_D4,FSIRXA_D0,
K12,GPIO53,,GPIO53,EQEP1_INDEX,EMIF1_D31,,GPIO53,,SPIC_PTE,SD1_C3,GPIO53,EMIF1_A9,,ESC_MDIO_DATA,GPIO53,SD1_C1,FSIRXA_D1,
K13,GPIO54,,GPIO54,SPIA_PICO,EMIF1_D30,,GPIO54,EQEP2_A,SCIB_TX,SD1_D4,GPIO54,EMIF1_A10,,ESC_PHY_CLK,GPIO54,SD1_C2,FSIRXA_CLK,
J13,GPIO55,,GPIO55,SPIA_POCI,EMIF1_D29,EPWM16_B,GPIO55,EQEP2_B,SCIB_RX,SD1_C4,GPIO55,EMIF1_D0,,ESC_PHY0_LINKSTATUS,GPIO55,SD1_C3,FSITXB_D0,
J12,GPIO56,,GPIO56,SPIA_CLK,EMIF1_D28,EPWM17_A,GPIO56,EQEP2_STROBE,,SD2_D1,GPIO56,EMIF1_D1,I2CA_SDA,ESC_TX0_ENA,GPIO56,SD1_C4,FSITXB_CLK,
J11,GPIO57,,GPIO57,SPIA_PTE,EMIF1_D27,EPWM17_B,GPIO57,EQEP2_INDEX,,SD2_C1,GPIO57,EMIF1_D2,I2CA_SCL,ESC_TX0_CLK,GPIO57,SD3_D3,FSITXB_D1,
B13,GPIO68,,GPIO68,,EMIF1_D16,EPWM17_B,GPIO68,LINB_RX,,,GPIO68,,,ESC_I2C_SCL,GPIO68,SD1_C3,ESC_PHY1_LINKSTATUS,
B10,GPIO74,,GPIO74,EPWM8_A,EMIF1_D10,,GPIO74,,EQEP5_A,,GPIO74,MCANA_TX,SD1_D4,,GPIO74,SD2_C2,ESC_TX1_DATA1,
A10,GPIO75,,GPIO75,EPWM8_B,EMIF1_D9,,GPIO75,,EQEP5_B,SPID_CLK,GPIO75,MCANA_RX,CLB_OUTPUTXBAR8,,GPIO75,SD2_D3,ESC_TX1_DATA0,
E9,GPIO76,,GPIO76,EPWM9_A,EMIF1_D8,,GPIO76,,EQEP5_STROBE,SD3_C1,GPIO76,,SD4_D4,,GPIO76,SD2_C3,ESC_PHY_RESETn,
D9,GPIO77,,GPIO77,EPWM9_B,EMIF1_D7,,GPIO77,,EQEP5_INDEX,SD3_D1,GPIO77,,SD1_D4,,GPIO77,SD2_D4,ESC_RX0_CLK,
B9,GPIO79,,GPIO79,EPWM10_B,EMIF1_D5,,GPIO79,ERRORSTS,EQEP2_B,SD3_D2,GPIO79,,,,GPIO79,SD2_D1,ESC_RX0_ERR,
D8,GPIO82,,GPIO82,EPWM12_A,EMIF1_D2,,GPIO82,,,,GPIO82,,,,GPIO82,SD3_C2,ESC_RX0_DATA2,
C8,GPIO83,,GPIO83,EPWM12_B,EMIF1_D1,,GPIO83,,,,GPIO83,,,,GPIO83,SD3_D2,ESC_RX0_DATA3,
C5,GPIO88,,GPIO88,EPWM14_B,EMIF1_A15,EMIF1_DQM0,GPIO88,,,,GPIO88,EMIF1_DQM1,,,GPIO88,SD3_C4,ESC_TX0_DATA1,
A3,GPIO93,SPID_CLK,GPIO93,EPWM17_A,,EMIF1_BA0,GPIO93,,,SD4_D3,GPIO93,,PMBUSA_ALERT,ESC_TX1_CLK,GPIO93,,CLB_OUTPUTXBAR3,SPID_CLK
A2,GPIO94,SPID_PTE,GPIO94,EPWM17_B,,,GPIO94,,,SD4_C3,GPIO94,EMIF1_BA1,PMBUSA_CTL,ESC_TX1_ENA,GPIO94,,CLB_OUTPUTXBAR4,SPID_PTE
E4,GPIO99,,GPIO99,,EMIF1_DQM3,EPWM8_A,GPIO99,EQEP1_INDEX,,SD4_D4,GPIO99,,ESC_GPI21,,GPIO99,,EMIF1_D17,
D10,GPIO103,,GPIO103,,EMIF1_BA0,EPWM8_B,GPIO103,EQEP2_INDEX,SPIC_PTE,SD4_C4,GPIO103,,ESC_GPI3,,GPIO103,FSIRXA_D0,,
A9,GPIO104,,GPIO104,I2CA_SDA,EPWM18_A,,GPIO104,EQEP3_A,SD3_D1,,GPIO104,,ESC_GPI4,,GPIO104,FSIRXA_D1,ESC_SYNC0,
H12,GPIO105,,GPIO105,I2CA_SCL,EPWM18_B,,GPIO105,EQEP3_B,SD3_C1,,GPIO105,,ESC_GPI5,,GPIO105,FSIRXA_CLK,ESC_SYNC1,
F13,GPIO133,,GPIO133,EMIF1_A11,EPWM9_A,,GPIO133,,,SD2_C2,GPIO133,,,ESC_LED_STATE_RUN,GPIO133,,,
K5,A7/ GPIO210,A7_GPIO210,GPIO210,EQEP2_INDEX,EPWM12_B,EMIF1_D15,GPIO210,,SD4_C2,,GPIO210,,LINB_TX,OUTPUTXBAR6,GPIO210,,ESC_RX0_DATA2,PMBUSA_SCL
J6,A8/ GPIO211,,GPIO211,EQEP6_A,EPWM14_A,,GPIO211,,SD4_D3,,GPIO211,,,OUTPUTXBAR7,GPIO211,,ESC_LED_LINK0_ACTIVE,
K6,A9/ GPIO212,,GPIO212,EQEP6_B,EPWM14_B,,GPIO212,,SD4_C3,,GPIO212,,,,GPIO212,,ESC_LED_LINK1_ACTIVE,
M6,B4/ GPIO215,B4_GPIO215,GPIO215,SCIA_RX,EMIF1_CS4n,CANA_RX,GPIO215,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO215,EMIF1_CS2n,I2CB_SDA,SPIC_POCI,GPIO215,EPWM15_A,LINA_TX,EMIF1_D12
